keyword,priority,category,search_volume,competition,cpc_estimate
"passive income ideas",9,"finance",12000,0.65,2.50
"affiliate marketing for beginners",8,"marketing",8500,0.72,1.85
"how to start a blog",9,"blogging",15000,0.68,1.95
"online business opportunities",7,"business",6200,0.58,2.10
"digital marketing strategies",8,"marketing",9800,0.70,2.35
"content creation tips",7,"content",5500,0.55,1.65
"SEO best practices 2025",9,"seo",11000,0.75,3.20
"email marketing automation",8,"marketing",7200,0.62,2.80
"social media monetization",7,"social",6800,0.60,1.95
"freelancing platforms comparison",6,"freelance",4500,0.50,1.40
"productivity hacks for entrepreneurs",7,"productivity",5800,0.52,1.55
"personal finance management",8,"finance",10500,0.68,2.45
"remote work best practices",7,"work",7800,0.58,1.75
"e-commerce store setup",8,"ecommerce",8900,0.72,2.60
"cryptocurrency investment guide",6,"crypto",5200,0.80,3.50
